entropy,left/right (1/0),number of exudate pixels,min distance from od centre,max distance from od centre,average distance from od centre,DR
4.388414972,1,9604,311.4498354,1129.957521,742.2458473,0.00000
4.252583529,0,0,0,0,0,0.00000
3.498549827,1,0,0,0,0,1.00000
4.158923094,0,0,0,0,0,1.00000
4.050701656,1,0,0,0,0,1.00000
4.244148126,0,0,0,0,0,1.00000
4.444483627,1,0,0,0,0,1.00000
3.931808213,0,0,0,0,0,1.00000
3.69800543,0,0,0,0,0,1.00000
4.177143806,1,0,0,0,0,1.00000
3.797657956,1,9546,541.0036968,941.2842291,785.3018917,1.00000
4.224591524,0,3028,123.4058345,884.1549638,637.4778117,1.00000
4.41302044,0,5698,129.4681428,214.1144554,171.8219242,0.00000
4.125905819,1,4106,480.7795753,633.0639778,563.4347693,1.00000
4.305778559,0,0,0,0,0,1.00000
3.754181065,1,9972,428.8029851,917.2158961,606.0008734,1.00000
4.323600096,0,2534,526.9269399,614.3590156,547.6459168,1.00000
4.049338779,1,0,0,0,0,1.00000
3.736504211,1,624,402.6276195,754.0324927,668.3837044,1.00000
4.72255616,1,0,0,0,0,1.00000
3.538330716,0,0,0,0,0,1.00000
4.157815745,1,100,753.8965446,1015.197025,982.141683,1.00000
3.567300385,0,0,0,0,0,1.00000
4.009526949,1,0,0,0,0,0.00000
3.897142655,1,334,741.4398155,1025.750457,957.5992644,1.00000
4.168887001,0,0,0,0,0,1.00000
4.186842004,1,14,1025.49354,1028.258722,1027.008755,1.00000
3.71455777,0,0,0,0,0,1.00000
4.178078057,1,0,0,0,0,1.00000
3.738238363,0,2414,6.403124237,347.5888376,67.57894061,1.00000
3.840134194,0,320,37.80211634,168.0238078,58.71195725,1.00000
4.149464269,1,0,0,0,0,1.00000
3.778536066,0,0,0,0,0,1.00000
4.783543449,1,10,971.111734,972.7240102,972.0584651,1.00000
4.231273397,1,9026,692.5272558,777.4914791,734.8874869,0.00000
4.794748251,0,0,0,0,0,1.00000
4.512511472,1,0,0,0,0,1.00000
